Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2019,Hyundai,Hyundai Xcent S 1.2,"41,326 KM",PETROL,MANUAL,New Delhi,5.21 lakh
2015,Honda,Honda Amaze 1.2L I-VTEC S,"41,525 KM",PETROL,MANUAL,New Delhi,3.67 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"41,711 KM",PETROL,AUTOMATIC,New Delhi,8.61 lakh
2017,Honda,Honda WR-V 1.2L I-VTEC VX MT,"41,985 KM",PETROL,MANUAL,New Delhi,6.02 lakh
2017,Honda,Honda City 1.5L I-VTEC ZX,41162  KM,PETROL,AUTOMATIC,Gurgaon,5.31 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,41367 KM,PETROL,AUTOMATIC,Gurgaon,8.34 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,41823 KM,DIESEL,MANUAL,Gurgaon,6.24 lakh
2019,Honda,Honda Amaze 1.2L I-VTEC VX,41843KM,PETROL,MANUAL,Indore,5.56 lakh
2021,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,41970 KM,PETROL,AUTOMATIC,Gurgaon,14.04 lakh
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,"42,012 KM",PETROL,AUTOMATIC,New Delhi,8.14 lakh
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"42,018 KM",PETROL,MANUAL,New Delhi,3.88 lakh
2012,Hyundai,Hyundai i10 SPORTZ 1.2 AT,"42,065 KM",PETROL,AUTOMATIC,New Delhi,2.5 lakh
2021,Tata,Tata Safari XT PLUS,"42,072 KM",DIESEL,MANUAL,New Delhi,14.29 lakh
2019,Hyundai,GRAND,"42,076 KM",PETROL,MANUAL,Lucknow,5.44 lakh
2020,Hyundai,Hyundai Verna SX (O) 1.0 TURBO DCT,"42,349 KM",PETROL,AUTOMATIC,New Delhi,11.02 lakh
2021,Hyundai,Hyundai Creta SX (O) 1.5 DIESEL,"42,584 KM",DIESEL,MANUAL,New Delhi,12.95 lakh
2021,Hyundai,Hyundai NEW I20 ASTA 1.2 MT,"42,707 KM",PETROL,MANUAL,New Delhi,7.52 lakh
2022,Hyundai,Hyundai Creta SX (O) IVT 1.5 PETROL,"42,763 KM",PETROL,AUTOMATIC,New Delhi,15.61 lakh
2016,Hyundai,Hyundai VENUE SX 1.0 TURBO,42198 KM,DIESEL,MANUAL,Gurgaon,5.66 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,42250 KM,DIESEL,MANUAL,Gurgaon,4.07 lakh
2019,Honda,Honda City 1.5L I-VTEC SV,42268 KM,PETROL,AUTOMATIC,Gurgaon,7.65 lakh
2021,Honda,Honda City 1.5L I-VTEC ZX,42334 KM,PETROL,AUTOMATIC,Gurgaon,4.72 lakh
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,42744 KM,DIESEL,MANUAL,Gurgaon,7.32 lakh
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,42964 KM,PETROL,AUTOMATIC,Gurgaon,6.73 lakh
2020,Tata,Tata NEXON XZ PLUS (O) PETROL DUAL TONE,"43,032 KM",PETROL,MANUAL,New Delhi,8.25 lakh
2021,Hyundai,Hyundai VENUE S 1.2,"43,270 KM",PETROL,MANUAL,New Delhi,6.95 lakh
2018,Hyundai,Hyundai Tucson 2WD MT PETROL,"43,368 KM",PETROL,MANUAL,New Delhi,12.5 lakh
2020,Hyundai,Hyundai VENUE SX 1.0 TURBO,"43,417 KM",PETROL,MANUAL,New Delhi,8.31 lakh
2021,Tata,Tata NEXON XZA PLUS SUNROOF PETROL,"43,424 KM",PETROL,AUTOMATIC,New Delhi,9.51 lakh
2021,Tata,Tata ALTROZ XM PLUS PETROL,"43,427 KM",PETROL,MANUAL,New Delhi,5.77 lakh
2014,Hyundai,Hyundai Eon MAGNA +,"43,441 KM",PETROL,MANUAL,New Delhi,2.13 lakh
2021,Honda,Honda Amaze 1.2L I-VTEC S CVT,"43,503 KM",PETROL,AUTOMATIC,New Delhi,6.62 lakh
2017,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"43,570 KM",PETROL,MANUAL,New Delhi,5.3 lakh
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO IMT,"43,632 KM",PETROL,MANUAL,New Delhi,8.37 lakh
2018,Hyundai,Xcent,"43,633 KM",PETROL,MANUAL,Lucknow,4.35 lakh
2019,Honda,Honda Amaze 1.5L I-DTEC E,"43,683 KM",DIESEL,MANUAL,New Delhi,5.78 lakh
2011,Hyundai,Hyundai i20 MAGNA (O) 1.2,"43,790 KM",PETROL,MANUAL,New Delhi,2.46 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"43,846 KM",PETROL,MANUAL,New Delhi,5.12 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,"43,980 KM",PETROL,MANUAL,New Delhi,4.84 lakh
2020,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),43067 KM,DIESEL,MANUAL,Gurgaon,5.74 lakh
2018,Honda,Honda City 1.5L I-VTEC ZX,43370 KM,DIESEL,MANUAL,Gurgaon,10.78 lakh
2014,Hyundai,Hyundai VENUE SX 1.0 TURBO,43420 KM,DIESEL,MANUAL,Gurgaon,6.82 lakh
2020,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,43426 KM,DIESEL,MANUAL,Gurgaon,9.16 lakh
2018,Hyundai,Hyundai Grand i10 MAGNA AT 1.2 KAPPA VTVT,"44,018 KM",PETROL,AUTOMATIC,New Delhi,4.87 lakh
2015,Honda,Honda Brio VX AT,"44,303 KM",PETROL,AUTOMATIC,New Delhi,3.93 lakh
2020,Tata,Tata ALTROZ XT PETROL,"44,696 KM",PETROL,MANUAL,New Delhi,5.97 lakh
