Year,Car,Model,Kilometre Driven,Fuel Type,Transmission Type,Location,Price
2016,Hyundai,Eon,"88,462 KM",PETROL,MANUAL,Lucknow,2.26 lakh
2011,Honda,Honda City 1.5L I-VTEC S MT,"88,490 KM",PETROL,MANUAL,New Delhi,2.62 lakh
2018,Tata,Tata Tiago XZ PETROL,"88,996 KM",PETROL,MANUAL,New Delhi,4.02 lakh
2016,Tata,Tata NEXON XZ PLUS PETROL,88275 KM,DIESEL,MANUAL,Gurgaon,6.85 lakh
2012,Honda,Honda City 1.5L I-VTEC V AT,"89,613 KM",PETROL,AUTOMATIC,New Delhi,3.08 lakh
2014,Hyundai,Hyundai Xcent S (O) 1.2,"89,712 KM",PETROL,MANUAL,New Delhi,2.97 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"89,726 KM",PETROL,MANUAL,New Delhi,5.15 lakh
2023,Tata,Tata PUNCH CREATIVE AMT 1.2 RTN DUAL TONE,893 KM,PETROL,AUTOMATIC,New Delhi,8.92 lakh
2017,Hyundai,Hyundai NEW SANTRO SPORTZ MT,8946 KM,DIESEL,MANUAL,Gurgaon,10.47 lakh
2018,Honda,Honda WR-V 1.2L I-VTEC VX MT,"9,363 KM",PETROL,MANUAL,New Delhi,6.65 lakh
2023,Tata,Tata TIAGO EV XT LONG RANGE,"9,789 KM",ELECTRIC,AUTOMATIC,New Delhi,9 lakh
2022,Hyundai,Hyundai VENUE S+ 1.2,"9,796 KM",PETROL,MANUAL,New Delhi,7.97 lakh
2017,Honda,Honda City 1.5L I-VTEC V MT,"90,167 KM",PETROL,MANUAL,New Delhi,6.64 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"90,739 KM",PETROL,AUTOMATIC,New Delhi,7.35 lakh
2018,Hyundai,Hyundai Xcent S 1.2,"90,833 KM",CNG,MANUAL,New Delhi,4.71 lakh
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX OPT,"91,163 KM",PETROL,MANUAL,New Delhi,3.97 lakh
2016,Honda,Honda City 1.5L I-VTEC VX,"91,272 KM",PETROL,MANUAL,New Delhi,6.37 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"91,368 KM",PETROL,MANUAL,New Delhi,5.07 lakh
2018,Hyundai,Hyundai Verna 1.6 CRDI SX + AT,91648KM,Diesel,AUTOMATIC,Indore,7.76 lakh
2014,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"92,619 KM",PETROL,MANUAL,New Delhi,3.17 lakh
2018,Tata,Tata NEXON XZ PLUS (O) PETROL DARK EDITION,92168 KM,DIESEL,MANUAL,Gurgaon,9.98 lakh
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,"93,800 KM",PETROL,MANUAL,New Delhi,4.43 lakh
2016,Maruti,Maruti Baleno DELTA PETROL 1.2,93624KM,PETROL,MANUAL,Indore,4.69 lakh
2015,Maruti,Maruti Swift LXI (O),93726KM,PETROL,MANUAL,Indore,3.34 lakh
2018,Tata,Tata Tiago XT PETROL,"94,153 KM",PETROL,MANUAL,New Delhi,3.86 lakh
2014,Honda,Honda City 1.5L I-VTEC VX CVT,"94,423 KM",PETROL,AUTOMATIC,New Delhi,4.77 lakh
2014,Honda,Honda City 1.5L I-VTEC V MT,"95,073 KM",PETROL,MANUAL,New Delhi,4.29 lakh
2017,Honda,Honda Amaze 1.2L I-VTEC S,"95,120 KM",CNG,MANUAL,New Delhi,4.33 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"95,409 KM",PETROL,AUTOMATIC,New Delhi,7.29 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"95,573 KM",CNG,MANUAL,New Delhi,4.09 lakh
2017,Honda,Honda Jazz 1.2L I-VTEC V AT,"95,825 KM",PETROL,AUTOMATIC,New Delhi,4.66 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"95,968 KM",PETROL,MANUAL,New Delhi,3.23 lakh
2015,Honda,Honda Brio VX MT,"96,395 KM",PETROL,MANUAL,New Delhi,3.34 lakh
2017,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"96,739 KM",PETROL,MANUAL,New Delhi,3.91 lakh
2015,Honda,Honda City 1.5L I-VTEC V MT,"97,044 KM",PETROL,MANUAL,New Delhi,5.15 lakh
2011,Hyundai,Hyundai i20 MAGNA 1.2,"97,176 KM",PETROL,MANUAL,New Delhi,1.96 lakh
2016,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"97,399 KM",PETROL,MANUAL,New Delhi,3.95 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"97,470 KM",PETROL,AUTOMATIC,New Delhi,7.65 lakh
2016,Honda,Honda City 1.5L I-VTEC SV,"97,885 KM",PETROL,MANUAL,New Delhi,5.24 lakh
2014,Skoda,Skoda Rapid 1.5 TDI CR AMBITION PLUS,97655KM,Diesel,MANUAL,Indore,3.69 lakh
2015,Honda,Honda City 1.5L I-VTEC SV CVT,"98,688 KM",PETROL,AUTOMATIC,New Delhi,5.19 lakh
2016,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,9830 KM,DIESEL,MANUAL,Gurgaon,3.57 lakh
2017,Honda,Honda City 1.5L I-VTEC VX,"99,063 KM",PETROL,MANUAL,New Delhi,6.78 lakh
2015,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"99,108 KM",PETROL,MANUAL,New Delhi,3.32 lakh
2012,Hyundai,Hyundai i10 MAGNA 1.2,"99,372 KM",PETROL,MANUAL,New Delhi,1.72 lakh
2011,Hyundai,Hyundai i20 SPORTZ 1.2,"99,510 KM",PETROL,MANUAL,New Delhi,2.13 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"98,493 KM",PETROL,AUTOMATIC,Bangalore,9.73 lakh
2017,Hyundai,Hyundai Eon ERA PLUS (O),"33,963 KM",PETROL,MANUAL,Bangalore,3.81 lakh
2019,Hyundai,Hyundai Creta SX 1.6 DIESEL,"43,987 KM",DIESEL,MANUAL,Bangalore,11.52 lakh
2019,Hyundai,Hyundai NEW SANTRO MAGNA,"33,609 KM",PETROL,MANUAL,Bangalore,4.39 lakh
2021,Hyundai,Hyundai NEW I20 ASTA 1.0 TURBO IMT DUAL TONE,"26,797 KM",PETROL,MANUAL,Bangalore,10.21 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"43,448 KM",PETROL,AUTOMATIC,Bangalore,11.28 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"97,183 KM",PETROL,AUTOMATIC,Bangalore,8.73 lakh
2012,Hyundai,Hyundai i20 SPORTZ 1.2,"99,928 KM",PETROL,MANUAL,Bangalore,4.06 lakh
2016,Hyundai,Hyundai i20 Active 1.4 SX,"82,644 KM",DIESEL,MANUAL,Bangalore,5.99 lakh
2021,Hyundai,Hyundai Verna SX (O) 1.5 VTVT IVT,"26,940 KM",PETROL,AUTOMATIC,Bangalore,13.32 lakh
2018,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"66,956 KM",PETROL,AUTOMATIC,Bangalore,9.42 lakh
2018,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"91,312 KM",PETROL,MANUAL,Bangalore,5.18 lakh
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"63,572 KM",PETROL,MANUAL,Bangalore,4.49 lakh
2020,Hyundai,Hyundai NEW I20 Asta 1.0 GDI Turbo IMT,"22,995 KM",PETROL,MANUAL,Bangalore,8.95 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"51,652 KM",PETROL,AUTOMATIC,Bangalore,12.11 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"43,454 KM",PETROL,MANUAL,Bangalore,4.75 lakh
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,"69,680 KM",PETROL,MANUAL,Bangalore,5.52 lakh
2022,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT CNG,"16,247 KM",CNG,MANUAL,Bangalore,7.86 lakh
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 CRDI SX,"46,332 KM",DIESEL,MANUAL,Bangalore,5.36 lakh
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,"88,718 KM",PETROL,MANUAL,Bangalore,4.93 lakh
2022,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.0 TURBO GDI,"17,693 KM",PETROL,MANUAL,Bangalore,6.98 lakh
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,"33,811 KM",PETROL,MANUAL,Bangalore,5.33 lakh
2019,Hyundai,Hyundai VENUE SX 1.0 TURBO,"69,173 KM",PETROL,MANUAL,Bangalore,7.96 lakh
2022,Hyundai,Hyundai Creta SX (O) AT 1.5 DIESEL,"27,509 KM",DIESEL,AUTOMATIC,Bangalore,18.46 lakh
2012,Hyundai,Hyundai i10 SPORTZ 1.2 AT,"38,261 KM",PETROL,AUTOMATIC,Bangalore,3.25 lakh
2022,Hyundai,Hyundai Creta EX 1.5 PETROL,"15,137 KM",PETROL,MANUAL,Bangalore,11.7 lakh
2013,Hyundai,Hyundai i10 SPORTZ 1.2,"34,376 KM",PETROL,MANUAL,Bangalore,3.11 lakh
2015,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"67,557 KM",PETROL,MANUAL,Bangalore,4.29 lakh
2011,Hyundai,Hyundai i20 MAGNA 1.2,"89,386 KM",PETROL,MANUAL,Bangalore,2.58 lakh
2023,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT,"11,028 KM",PETROL,MANUAL,Bangalore,7.54 lakh
2022,Hyundai,Hyundai GRAND I10 NIOS MAGNA CORPORATE EDITION 1.2 KAPPA VTVT,"40,038 KM",PETROL,MANUAL,Bangalore,5.96 lakh
2019,Hyundai,Hyundai New Elantra 2.0 SX(O) AT PETROL,"14,129 KM",PETROL,AUTOMATIC,Bangalore,15.34 lakh
2012,Hyundai,Hyundai i20 SPORTZ 1.2,"64,048 KM",PETROL,MANUAL,Bangalore,3.49 lakh
2016,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"54,309 KM",PETROL,MANUAL,Bangalore,8.2 lakh
2012,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,"88,309 KM",PETROL,MANUAL,Bangalore,4.36 lakh
2020,Hyundai,Hyundai AURA SX 1.2,"21,521 KM",PETROL,MANUAL,Bangalore,6.55 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"43,237 KM",PETROL,MANUAL,Bangalore,4.92 lakh
2015,Hyundai,Hyundai i10 MAGNA 1.1,"65,097 KM",PETROL,MANUAL,Bangalore,3.41 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,"32,982 KM",PETROL,MANUAL,Bangalore,8.46 lakh
2012,Hyundai,Hyundai i10 SPORTZ 1.2,"75,384 KM",PETROL,MANUAL,Bangalore,3.12 lakh
2020,Hyundai,Hyundai NEW SANTRO MAGNA,"29,027 KM",PETROL,MANUAL,Bangalore,4.51 lakh
2010,Hyundai,Hyundai Santro Xing GL,"79,984 KM",PETROL,MANUAL,Bangalore,1.82 lakh
2021,Hyundai,Hyundai GRAND I10 NIOS ASTA AMT 1.2 KAPPA VTVT,"31,259 KM",PETROL,AUTOMATIC,Bangalore,6.99 lakh
2014,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,"46,423 KM",PETROL,MANUAL,Bangalore,5.83 lakh
2014,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"44,032 KM",PETROL,AUTOMATIC,Bangalore,4.08 lakh
2016,Hyundai,Hyundai Creta SX 1.6 DIESEL,"58,014 KM",DIESEL,MANUAL,Bangalore,8.58 lakh
2013,Hyundai,Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,"87,459 KM",PETROL,MANUAL,Bangalore,3.36 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"1,00,708 KM",PETROL,MANUAL,Bangalore,3.74 lakh
2018,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"77,073 KM",PETROL,MANUAL,Bangalore,5.67 lakh
2018,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"57,288 KM",PETROL,MANUAL,Bangalore,9.07 lakh
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO,"25,798 KM",PETROL,MANUAL,Bangalore,9.63 lakh
2011,Hyundai,Hyundai Santro Xing GL PLUS,"49,805 KM",PETROL,MANUAL,Bangalore,2.54 lakh
2014,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"82,706 KM",PETROL,AUTOMATIC,Bangalore,3.88 lakh
2012,Hyundai,Hyundai Verna FLUIDIC 1.6 CRDI SX,"1,23,296 KM",DIESEL,MANUAL,Bangalore,4.42 lakh
2012,Hyundai,Hyundai i20 SPORTZ 1.4 CRDI,"84,002 KM",DIESEL,MANUAL,Bangalore,3.85 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"28,264 KM",PETROL,AUTOMATIC,Bangalore,11.4 lakh
2015,Hyundai,Hyundai Verna FLUIDIC 4S1.6 VTVT S O AT,"32,301 KM",PETROL,AUTOMATIC,Bangalore,6.33 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ U2 1.2 CRDI,"39,250 KM",DIESEL,MANUAL,Bangalore,7.09 lakh
2022,Hyundai,Hyundai VENUE S 1.2,"9,802 KM",PETROL,MANUAL,Bangalore,9.05 lakh
2020,Hyundai,Hyundai GRAND I10 NIOS SPORTZ 1.2 KAPPA VTVT DUAL TONE,"17,472 KM",PETROL,MANUAL,Bangalore,6.74 lakh
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,"65,656 KM",PETROL,MANUAL,Bangalore,5.44 lakh
2020,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"29,075 KM",PETROL,AUTOMATIC,Bangalore,9.84 lakh
2019,Hyundai,Hyundai Tucson 2WD MT PETROL,"31,249 KM",PETROL,MANUAL,Bangalore,12.41 lakh
2015,Hyundai,Hyundai i20 Active 1.4 SX,"86,615 KM",DIESEL,MANUAL,Bangalore,5.68 lakh
2021,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"10,826 KM",PETROL,AUTOMATIC,Bangalore,7.63 lakh
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"82,571 KM",PETROL,MANUAL,Bangalore,3.72 lakh
2021,Hyundai,Hyundai ALCAZAR PRESTIGE (O) 6STR 2.0 AT,"12,485 KM",PETROL,AUTOMATIC,Bangalore,17.1 lakh
2017,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"40,581 KM",PETROL,MANUAL,Bangalore,4.77 lakh
2016,Hyundai,Hyundai Elite i20 MAGNA 1.2,"55,009 KM",PETROL,MANUAL,Bangalore,5.4 lakh
2013,Hyundai,Hyundai i10 SPORTZ 1.2 AT,"78,126 KM",PETROL,AUTOMATIC,Bangalore,3.02 lakh
2018,Hyundai,Hyundai Verna 1.6 CRDI SX,"1,17,994 KM",DIESEL,MANUAL,Bangalore,7.3 lakh
2015,Hyundai,Hyundai Creta SX PLUS AT 1.6 DIESEL,"1,06,215 KM",DIESEL,AUTOMATIC,Bangalore,8.35 lakh
2021,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO IMT,"17,981 KM",PETROL,MANUAL,Bangalore,10.6 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"43,583 KM",PETROL,MANUAL,Bangalore,2.69 lakh
2012,Hyundai,Hyundai i20 ASTA 1.4 CRDI,"1,15,681 KM",DIESEL,MANUAL,Bangalore,3.79 lakh
2022,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO IMT,"21,422 KM",PETROL,MANUAL,Bangalore,11.27 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.4 CRDI,"1,02,555 KM",DIESEL,MANUAL,Bangalore,4.32 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,"60,087 KM",PETROL,MANUAL,Bangalore,7.97 lakh
2011,Hyundai,Hyundai Santro Xing GLS,"55,224 KM",PETROL,MANUAL,Bangalore,2.45 lakh
2016,Hyundai,Hyundai i10 SPORTZ 1.1,"48,427 KM",PETROL,MANUAL,Bangalore,3.86 lakh
2020,Hyundai,Hyundai Creta SX (O) 1.4 TURBO DCT,"32,794 KM",PETROL,AUTOMATIC,Bangalore,15.15 lakh
2016,Hyundai,Hyundai Elite i20 ASTA 1.4 CRDI (O),"76,454 KM",DIESEL,MANUAL,Bangalore,6.47 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"18,462 KM",PETROL,AUTOMATIC,Bangalore,6.98 lakh
2019,Hyundai,Hyundai Verna 1.6 VTVT SX (O) AT,"49,820 KM",PETROL,AUTOMATIC,Bangalore,10.24 lakh
2017,Hyundai,Hyundai Eon ERA PLUS (O),"36,950 KM",PETROL,MANUAL,Bangalore,3.22 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,"44,659 KM",PETROL,MANUAL,Bangalore,8.34 lakh
2022,Hyundai,Hyundai NEW I20 ASTA (O) 1.2 AT,"12,885 KM",PETROL,AUTOMATIC,Bangalore,11.03 lakh
2011,Hyundai,Hyundai i20 SPORTZ (O) 1.2,"65,841 KM",PETROL,MANUAL,Bangalore,3.06 lakh
2011,Hyundai,Hyundai i10 SPORTZ 1.2,"91,035 KM",PETROL,MANUAL,Bangalore,2.6 lakh
2012,Hyundai,Hyundai i20 SPORTZ 1.4 CRDI,"83,337 KM",DIESEL,MANUAL,Bangalore,3.69 lakh
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"44,309 KM",PETROL,AUTOMATIC,Bangalore,9.64 lakh
2018,Hyundai,Hyundai Creta SX (O) 1.6 DIESEL,"40,746 KM",DIESEL,MANUAL,Bangalore,12.39 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.2,"1,30,587 KM",PETROL,MANUAL,Bangalore,2.18 lakh
2019,Hyundai,Hyundai Creta SX (O) EXECUTIVE 1.6 PETROL,"48,476 KM",PETROL,MANUAL,Bangalore,11.18 lakh
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,"36,748 KM",PETROL,MANUAL,Bangalore,6.38 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"36,365 KM",PETROL,AUTOMATIC,Bangalore,6.63 lakh
2020,Hyundai,Hyundai AURA SX 1.2 (O),"41,269 KM",PETROL,MANUAL,Bangalore,7.12 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"80,561 KM",PETROL,AUTOMATIC,Bangalore,9.03 lakh
2017,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"52,427 KM",PETROL,MANUAL,Bangalore,9.03 lakh
2011,Hyundai,Hyundai i20 SPORTZ 1.2,"52,325 KM",PETROL,MANUAL,Bangalore,3.27 lakh
2011,Hyundai,Hyundai i20 SPORTZ (O) 1.2,"1,11,350 KM",PETROL,MANUAL,Bangalore,2.99 lakh
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"55,620 KM",PETROL,AUTOMATIC,Bangalore,9.91 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,"15,912 KM",PETROL,MANUAL,Bangalore,9.13 lakh
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"36,174 KM",PETROL,MANUAL,Bangalore,6.9 lakh
2020,Hyundai,Hyundai AURA SX+ 1.0 TURBO GDI MT,"39,864 KM",PETROL,MANUAL,Bangalore,7.4 lakh
2017,Hyundai,Hyundai i20 Active 1.2 SX,"69,694 KM",PETROL,MANUAL,Bangalore,6.49 lakh
2016,Hyundai,Hyundai Verna FLUIDIC 1.6 CRDI S 4S,"65,029 KM",DIESEL,MANUAL,Bangalore,7.71 lakh
2015,Hyundai,Hyundai Eon ERA +,"22,557 KM",PETROL,MANUAL,Bangalore,3.02 lakh
2021,Hyundai,Hyundai ALCAZAR 1.5 SIGNATURE (O) AT 6STR,"24,546 KM",DIESEL,AUTOMATIC,Bangalore,18.98 lakh
2015,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,"23,523 KM",PETROL,MANUAL,Bangalore,4.47 lakh
2017,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"55,852 KM",PETROL,MANUAL,Bangalore,8.54 lakh
2012,Hyundai,Hyundai i20 ASTA 1.4 CRDI,"1,02,029 KM",DIESEL,MANUAL,Bangalore,4 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"29,254 KM",PETROL,MANUAL,Bangalore,6.15 lakh
2014,Hyundai,Hyundai i10 SPORTZ 1.1,"82,502 KM",PETROL,MANUAL,Bangalore,2.94 lakh
2018,Hyundai,Hyundai Verna 1.6 VTVT SX,"55,600 KM",PETROL,MANUAL,Bangalore,8.29 lakh
2022,Hyundai,Hyundai ALCAZAR 2.0 SIGNATURE (O) AT 7STR,"11,009 KM",PETROL,AUTOMATIC,Bangalore,18.89 lakh
2013,Hyundai,Hyundai i20 ASTA 1.2,"66,176 KM",PETROL,MANUAL,Bangalore,4.17 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"69,273 KM",PETROL,MANUAL,Bangalore,8.53 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"27,464 KM",PETROL,MANUAL,Bangalore,5.14 lakh
2019,Hyundai,Hyundai VENUE SX PLUS 1.0 TURBO DCT,"43,922 KM",PETROL,AUTOMATIC,Bangalore,9 lakh
2017,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"68,811 KM",PETROL,MANUAL,Bangalore,9.44 lakh
2023,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO IMT,"6,278 KM",PETROL,MANUAL,Bangalore,12.18 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"43,170 KM",PETROL,MANUAL,Bangalore,7.13 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ (O) 1.2 KAPPA VTVT,"1,03,142 KM",PETROL,MANUAL,Bangalore,4.65 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"65,458 KM",PETROL,MANUAL,Bangalore,5.06 lakh
2017,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"47,224 KM",PETROL,AUTOMATIC,Bangalore,5.66 lakh
2011,Hyundai,Hyundai Santro Xing GL PLUS,"78,152 KM",PETROL,MANUAL,Bangalore,2.48 lakh
2011,Hyundai,Hyundai i10 MAGNA 1.1,"70,441 KM",PETROL,MANUAL,Bangalore,2.62 lakh
2014,Hyundai,Hyundai Grand i10 ASTA AT 1.2 KAPPA VTVT,"83,346 KM",PETROL,AUTOMATIC,Bangalore,4.4 lakh
2016,Hyundai,Hyundai Grand i10 ASTA (O) 1.2 KAPPA VTVT,"15,069 KM",PETROL,MANUAL,Bangalore,5.68 lakh
2014,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX AT,"1,07,887 KM",PETROL,AUTOMATIC,Bangalore,5.07 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,"94,859 KM",PETROL,AUTOMATIC,Bangalore,8.4 lakh
2017,Hyundai,Hyundai Verna 1.6 VTVT SX AT,"58,359 KM",PETROL,AUTOMATIC,Bangalore,7.67 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"1,05,587 KM",PETROL,MANUAL,Bangalore,8.03 lakh
2019,Hyundai,Hyundai GRAND I10 NIOS SPORTZ AMT 1.2 KAPPA VTVT,"35,148 KM",PETROL,AUTOMATIC,Bangalore,6.76 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"37,657 KM",PETROL,AUTOMATIC,Bangalore,12.03 lakh
2017,Hyundai,Hyundai Elite i20 ASTA 1.2,"82,689 KM",PETROL,MANUAL,Bangalore,6.44 lakh
2013,Hyundai,Hyundai i20 MAGNA (O) 1.2,"96,431 KM",PETROL,MANUAL,Bangalore,3.66 lakh
2020,Hyundai,Hyundai AURA SX PLUS 1.2 AMT,"23,213 KM",PETROL,AUTOMATIC,Bangalore,6.73 lakh
2017,Hyundai,Hyundai Xcent SX 1.2,"55,733 KM",PETROL,MANUAL,Bangalore,6.13 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"60,817 KM",PETROL,MANUAL,Bangalore,9.32 lakh
2016,Hyundai,Hyundai Eon ERA +,"44,873 KM",PETROL,MANUAL,Bangalore,2.98 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.2,"57,769 KM",PETROL,MANUAL,Bangalore,4.93 lakh
2022,Hyundai,Hyundai VENUE SX 1.0 (O) TURBO IMT,"35,746 KM",PETROL,MANUAL,Bangalore,11.98 lakh
2020,Hyundai,Hyundai AURA SX PLUS 1.2 AMT CRDI,"49,985 KM",DIESEL,AUTOMATIC,Bangalore,8.1 lakh
2018,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"42,364 KM",PETROL,AUTOMATIC,Bangalore,6.13 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 DIESEL,"93,290 KM",DIESEL,AUTOMATIC,Bangalore,9.56 lakh
2022,Hyundai,Hyundai VENUE SX (O) 1.5 CRDI,"14,280 KM",DIESEL,MANUAL,Bangalore,12.31 lakh
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,"44,370 KM",PETROL,AUTOMATIC,Bangalore,11.24 lakh
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 DIESEL,"1,13,873 KM",DIESEL,AUTOMATIC,Bangalore,9.64 lakh
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"89,398 KM",PETROL,MANUAL,Bangalore,6.34 lakh
2016,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"42,552 KM",PETROL,MANUAL,Bangalore,4.89 lakh
2016,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"48,665 KM",PETROL,MANUAL,Bangalore,8.49 lakh
2014,Hyundai,Hyundai i20 SPORTZ 1.2,"40,194 KM",PETROL,MANUAL,Bangalore,4.69 lakh
2017,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"18,538 KM",PETROL,MANUAL,Bangalore,9.83 lakh
2016,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,"89,371 KM",PETROL,MANUAL,Bangalore,8.58 lakh
2012,Hyundai,Hyundai i10 SPORTZ 1.2,"36,577 KM",PETROL,MANUAL,Bangalore,3.33 lakh
2018,Hyundai,Hyundai Grand i10 ASTA 1.2 KAPPA VTVT,"65,464 KM",PETROL,MANUAL,Bangalore,5.03 lakh
2012,Hyundai,Hyundai i20 SPORTZ 1.2,"52,538 KM",PETROL,MANUAL,Bangalore,4.13 lakh
2014,Hyundai,Hyundai Xcent S 1.2,"65,455 KM",PETROL,MANUAL,Bangalore,4.26 lakh
2016,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL,"92,043 KM",PETROL,MANUAL,Bangalore,8.5 lakh
2016,Hyundai,Hyundai Elite i20 ASTA 1.2 (O),"55,254 KM",PETROL,MANUAL,Bangalore,6.8 lakh
